"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"BUT", "17", "Par", "45", "les", "324"
"LER", "17", "Pré", "40", "ent", "308"
"LES", "8", "Mon", "36", "que", "286"
"NEW", "8", "Con", "33", "par", "246"
"PAR", "8", "Les", "31", "con", "221"
"XXX", "8", "Fra", "27", "pou", "214"
"LET", "7", "Mai", "27", "tou", "210"
"TRE", "7", "Dot", "23", "est", "188"
"YOR", "7", "Cor", "21", "des", "172"
"CON", "5", "Leb", "21", "com", "166"
"CTI", "4", "Sén", "21", "son", "150"
"ONS", "4", "Cha", "20", "pas", "136"
"ADE", "3", "Com", "19", "qu'", "133"
"ARD", "3", "Nic", "19", "fai", "118"
"MUN", "3", "But", "18", "qui", "118"
"ALE", "2", "Cai", "16", "ion", "117"
"ART", "2", "Dép", "16", "dan", "116"
"ASS", "2", "Mur", "16", "ave", "113"
"AUX", "2", "Bou", "15", "plu", "109"
"CAN", "2", "Nou", "15", "men", "106"
"COM", "2", "Uni", "15", "une", "98"
"DHO", "2", "Man", "14", "mai", "96"
"EST", "2", "Est", "13", "nou", "96"
"FIL", "2", "Flè", "13", "res", "92"
"GER", "2", "Mme", "13", "ant", "91"
"ITA", "2", "Pro", "13", "vou", "88"
"LAC", "2", "Tou", "13", "mon", "85"
"LIC", "2", "Ell", "12", "pro", "83"
"LSW", "2", "Gou", "12", "don", "79"
"MAN", "2", "Sar", "12", "tre", "79"
"MME", "2", "Cle", "11", "moi", "77"
"MOR", "2", "Ger", "11", "tio", "76"
"NCA", "2", "Mar", "11", "bie", "75"
"NEL", "2", "Eta", "10", "mes", "75"
"OUR", "2", "Eur", "10", "ell", "74"
"PER", "2", "Sai", "10", "ati", "73"
"PRU", "2", "Bar", "9", "pré", "73"
"RIA", "2", "Cet", "9", "leu", "72"
"SAR", "2", "Gén", "9", "san", "72"
"STA", "2", "Jan", "9", "ser", "69"
"THE", "2", "Que", "9", "ava", "68"
"TIO", "2", "Rép", "9", "che", "68"
"TON", "2", "SÉN", "9", "nce", "68"
"AIR", "1", "Voi", "9", "ons", "66"
"ALI", "1", "Vot", "9", "ont", "66"
"AMB", "1", "Apr", "8", "cha", "63"
"APP", "1", "Cré", "8", "ses", "63"
"ARI", "1", "Nat", "8", "pre", "61"
"ATI", "1", "Pau", "8", "éta", "60"
"ATO", "1", "Vou", "8", "jou", "58"
"BAR", "1", "Alb", "7", "voi", "58"
"BLI", "1", "All", "7", "ces", "57"
"BOU", "1", "Amé", "7", "sur", "57"
"CAS", "1", "Ass", "7", "aut", "56"
"CHO", "1", "Duc", "7", "enc", "56"
"CIL", "1", "Far", "7", "int", "56"
"COR", "1", "Fer", "7", "tra", "56"
"CRA", "1", "Her", "7", "tro", "55"
"DAN", "1", "Jui", "7", "lle", "54"
"DER", "1", "Pie", "7", "rep", "53"
"DES", "1", "Châ", "6", "seu", "53"
"DIA", "1", "Col", "6", "ain", "52"
"DIE", "1", "Déc", "6", "eme", "52"
"DON", "1", "Ils", "6", "été", "52"
"DOT", "1", "Int", "6", "not", "52"
"ECL", "1", "Lic", "6", "lui", "51"
"EFR", "1", "Lud", "6", "rés", "49"
"ELL", "1", "Mal", "6", "sou", "49"
"EMB", "1", "Min", "6", "pri", "48"
"EMI", "1", "Nov", "6", "cti", "47"
"EMO", "1", "Sco", "6", "ire", "47"
"ENN", "1", "Ade", "5", "rre", "47"
"ENT", "1", "Bea", "5", "ver", "47"
"ERS", "1", "Bri", "5", "ien", "46"
"ETT", "1", "Bro", "5", "gue", "45"
"EUN", "1", "Cal", "5", "air", "44"
"EXA", "1", "Car", "5", "ait", "44"
"FAR", "1", "Cen", "5", "ble", "44"
"FAU", "1", "Gig", "5", "éle", "44"
"FFE", "1", "Mad", "5", "mêm", "44"
"FIA", "1", "Mam", "5", "vie", "44"
"FLE", "1", "New", "5", "avo", "43"
"FOE", "1", "Pai", "5", "gra", "43"
"FON", "1", "Plu", "5", "ren", "43"
"FRA", "1", "Wal", "5", "fra", "42"
"GAR", "1", "Ain", "4", "nos", "42"
"GIA", "1", "Ang", "4", "sid", "42"
"GID", "1", "Cel", "4", "ass", "41"
"GIG", "1", "Cer", "4", "cou", "41"
"GNI", "1", "Des", "4", "rie", "41"
"GOD", "1", "Dim", "4", "eur", "40"
"GRO", "1", "LE", "4", "heu", "40"
"HAB", "1", "Emp", "4", "ité", "40"
"HES", "1", "Enf", "4", "per", "40"
"HTE", "1", "Gui", "4", "acc", "39"
"HUG", "1", "Hen", "4", "aux", "39"
"ICI", "1", "Heu", "4", "cet", "39"
"ILL", "1", "Hug", "4", "ert", "39"
"INA", "1", "Lan", "4", "ill", "39"
"ION", "1", "Loi", "4", "our", "39"
"ISE", "1", "Lon", "4", "sem", "39"
"IVE", "1", "Lou", "4", "end", "38"
"JAU", "1", "Mis", "4", "éra", "38"
"JOU", "1", "Mol", "4", "rép", "38"
"LAI", "1", "Nip", "4", "urs", "38"
"LAT", "1", "Nor", "4", "cel", "37"
