"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"BUT", "159", "Fra", "334", "les", "1844"
"LER", "158", "Mon", "325", "ent", "1748"
"PAR", "130", "Pré", "262", "que", "1744"
"NEW", "96", "All", "170", "des", "1390"
"LET", "93", "Eta", "153", "par", "1241"
"TRE", "93", "Par", "149", "est", "1063"
"YOR", "71", "But", "129", "pou", "1059"
"LES", "68", "Uni", "127", "con", "981"
"XXX", "64", "Les", "127", "tou", "942"
"ATI", "56", "Mai", "127", "com", "867"
"ION", "56", "Mur", "121", "pas", "803"
"CON", "53", "Gou", "116", "son", "784"
"NAT", "40", "Con", "106", "ion", "719"
"FRA", "35", "Nou", "97", "plu", "706"
"EST", "31", "Nic", "89", "dan", "695"
"PAI", "31", "Vot", "83", "qui", "669"
"DES", "30", "Nat", "79", "nou", "667"
"GUE", "28", "Com", "79", "une", "588"
"ENT", "28", "SÉN", "77", "men", "561"
"OUR", "27", "Amé", "76", "fai", "524"
"RRE", "26", "Eur", "70", "rre", "519"
"NEL", "26", "Soc", "66", "gue", "513"
"STA", "26", "Ell", "64", "vou", "512"
"CAR", "26", "Vou", "62", "res", "506"
"NEG", "25", "Cré", "62", "mai", "493"
"RIC", "23", "Mar", "60", "ant", "491"
"POU", "23", "Tou", "59", "ser", "477"
"BOU", "23", "Ang", "55", "pro", "474"
"TTR", "22", "Cha", "53", "ell", "469"
"DOT", "21", "Sar", "49", "tre", "462"
"PRO", "21", "Cle", "45", "nce", "427"
"ELL", "20", "Ass", "45", "leu", "423"
"ASS", "20", "Bou", "43", "ave", "411"
"QUE", "20", "Que", "43", "ati", "400"
"SEN", "19", "Lor", "38", "ont", "395"
"ETT", "19", "Bel", "38", "sur", "388"
"RGE", "19", "Bur", "38", "che", "386"
"DAN", "18", "Pou", "37", "aut", "381"
"AIN", "18", "Car", "37", "tio", "371"
"SOC", "18", "Cel", "36", "san", "368"
"NCE", "18", "Pro", "36", "tra", "368"
"NCA", "17", "Emp", "36", "jou", "353"
"POL", "17", "Cet", "36", "mon", "351"
"SID", "17", "Rus", "35", "ons", "341"
"ONS", "16", "Voi", "34", "enc", "339"
"ISE", "16", "Min", "34", "cha", "336"
"ANS", "15", "Sén", "34", "bie", "331"
"SON", "15", "Man", "33", "ver", "316"
"NOT", "15", "Gén", "33", "pré", "314"
"COM", "15", "Dot", "33", "mêm", "302"
"NIP", "15", "Dro", "32", "ses", "301"
"RES", "15", "Sai", "31", "don", "299"
"OIS", "14", "Wil", "30", "mes", "299"
"MON", "14", "Sep", "29", "sid", "299"
"UNI", "13", "Aff", "28", "ain", "296"
"OCI", "13", "Ces", "28", "ces", "296"
"CRE", "12", "Hay", "28", "tro", "295"
"TIO", "12", "Flè", "26", "ema", "295"
"CLE", "12", "Une", "26", "peu", "293"
"ART", "12", "Cou", "25", "pre", "288"
"ANI", "11", "Sui", "25", "voi", "286"
"ALL", "11", "Déc", "24", "nos", "283"
