"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"", "", "", "", "ju", "15"
"", "", "", "", "mé", "15"
"", "", "", "", "rm", "15"
"", "", "", "", "br", "14"
"", "", "", "", "ça", "14"
"", "", "", "", "of", "14"
"", "", "", "", "rc", "14"
"", "", "", "", "cl", "13"
"", "", "", "", "ez", "13"
"", "", "", "", "iè", "13"
"", "", "", "", "nv", "13"
"", "", "", "", "rè", "13"
"", "", "", "", "tu", "13"
"", "", "", "", "be", "12"
"", "", "", "", "ès", "12"
"", "", "", "", "ho", "12"
"", "", "", "", "ib", "12"
"", "", "", "", "oc", "12"
"", "", "", "", "pi", "12"
"", "", "", "", "tl", "12"
"", "", "", "", "ué", "12"
"", "", "", "", "ép", "11"
"", "", "", "", "gl", "11"
"", "", "", "", "ha", "11"
"", "", "", "", "ié", "11"
"", "", "", "", "ja", "11"
"", "", "", "", "os", "11"
"", "", "", "", "sp", "11"
"", "", "", "", "ye", "11"
"", "", "", "", "ef", "10"
"", "", "", "", "iv", "10"
"", "", "", "", "ot", "10"
"", "", "", "", "où", "10"
"", "", "", "", "pé", "10"
"", "", "", "", "hi", "9"
"", "", "", "", "ia", "9"
"", "", "", "", "ig", "9"
"", "", "", "", "pt", "9"
"", "", "", "", "uj", "9"
"", "", "", "", "vé", "9"
"", "", "", "", "cé", "8"
"", "", "", "", "ei", "8"
"", "", "", "", "hu", "8"
"", "", "", "", "là", "8"
"", "", "", "", "lé", "8"
"", "", "", "", "nf", "8"
"", "", "", "", "rê", "8"
"", "", "", "", "ru", "8"
"", "", "", "", "ba", "7"
"", "", "", "", "èr", "7"
"", "", "", "", "ev", "7"
"", "", "", "", "fu", "7"
"", "", "", "", "nq", "7"
"", "", "", "", "ob", "7"
"", "", "", "", "rn", "7"
"", "", "", "", "sq", "7"
"", "", "", "", "aq", "6"
"", "", "", "", "ea", "6"
"", "", "", "", "ff", "6"
"", "", "", "", "gé", "6"
"", "", "", "", "if", "6"
"", "", "", "", "jà", "6"
"", "", "", "", "lt", "6"
"", "", "", "", "nè", "6"
"", "", "", "", "od", "6"
"", "", "", "", "oy", "6"
"", "", "", "", "pp", "6"
"", "", "", "", "rp", "6"
"", "", "", "", "ua", "6"
"", "", "", "", "uc", "6"
"", "", "", "", "ud", "6"
"", "", "", "", "cc", "5"
"", "", "", "", "dè", "5"
"", "", "", "", "éd", "5"
"", "", "", "", "ep", "5"
"", "", "", "", "hé", "5"
"", "", "", "", "lè", "5"
"", "", "", "", "oe", "5"
"", "", "", "", "om", "5"
"", "", "", "", "sm", "5"
"", "", "", "", "ug", "5"
"", "", "", "", "ût", "5"
"", "", "", "", "bu", "4"
"", "", "", "", "cô", "4"
"", "", "", "", "èg", "4"
"", "", "", "", "ém", "4"
"", "", "", "", "én", "4"
"", "", "", "", "év", "4"
"", "", "", "", "ip", "4"
"", "", "", "", "mè", "4"
"", "", "", "", "th", "4"
"", "", "", "", "tô", "4"
"", "", "", "", "vu", "4"
"", "", "", "", "aî", "3"
"", "", "", "", "él", "3"
"", "", "", "", "éo", "3"
"", "", "", "", "éq", "3"
"", "", "", "", "fl", "3"
"", "", "", "", "go", "3"
"", "", "", "", "gt", "3"
"", "", "", "", "ht", "3"
"", "", "", "", "mt", "3"
"", "", "", "", "og", "3"
"", "", "", "", "oq", "3"
"", "", "", "", "rk", "3"
"", "", "", "", "rq", "3"
"", "", "", "", "sf", "3"
"", "", "", "", "sh", "3"
"", "", "", "", "sy", "3"
"", "", "", "", "uf", "3"
"", "", "", "", "um", "3"
"", "", "", "", "xi", "3"
"", "", "", "", "yé", "3"
"", "", "", "", "âc", "2"
"", "", "", "", "ço", "2"
"", "", "", "", "çu", "2"
"", "", "", "", "ds", "2"
"", "", "", "", "ég", "2"
"", "", "", "", "ÉN", "2"
"", "", "", "", "fê", "2"
"", "", "", "", "gi", "2"
"", "", "", "", "ît", "2"
"", "", "", "", "lh", "2"
"", "", "", "", "lv", "2"
"", "", "", "", "ly", "2"
"", "", "", "", "nç", "2"
"", "", "", "", "nr", "2"
"", "", "", "", "pè", "2"
"", "", "", "", "pê", "2"
"", "", "", "", "ph", "2"
"", "", "", "", "rb", "2"
"", "", "", "", "rf", "2"
"", "", "", "", "rg", "2"
"", "", "", "", "sè", "2"
"", "", "", "", "sg", "2"
"", "", "", "", "sû", "2"
"", "", "", "", "ub", "2"
"", "", "", "", "xe", "2"
"", "", "", "", "yt", "2"
"", "", "", "", "àc", "1"
"", "", "", "", "ah", "1"
"", "", "", "", "aj", "1"
"", "", "", "", "âm", "1"
"", "", "", "", "az", "1"
"", "", "", "", "bâ", "1"
"", "", "", "", "bé", "1"
"", "", "", "", "cè", "1"
"", "", "", "", "ck", "1"
"", "", "", "", "cq", "1"
"", "", "", "", "ÇU", "1"
"", "", "", "", "cy", "1"
"", "", "", "", "dn", "1"
"", "", "", "", "éa", "1"
"", "", "", "", "èd", "1"
"", "", "", "", "eé", "1"
"", "", "", "", "eg", "1"
"", "", "", "", "éj", "1"
"", "", "", "", "èm", "1"
"", "", "", "", "êm", "1"
"", "", "", "", "eo", "1"
"", "", "", "", "eS", "1"
"", "", "", "", "ÉS", "1"
"", "", "", "", "ÉT", "1"
"", "", "", "", "ey", "1"
"", "", "", "", "fé", "1"
"", "", "", "", "fs", "1"
"", "", "", "", "gâ", "1"
"", "", "", "", "gê", "1"
"", "", "", "", "gh", "1"
"", "", "", "", "hn", "1"
"", "", "", "", "hô", "1"
"", "", "", "", "ïs", "1"
"", "", "", "", "lb", "1"
"", "", "", "", "lf", "1"
"", "", "", "", "lg", "1"
"", "", "", "", "lm", "1"
"", "", "", "", "lp", "1"
"", "", "", "", "lq", "1"
"", "", "", "", "ls", "1"
"", "", "", "", "mn", "1"
"", "", "", "", "mu", "1"
"", "", "", "", "my", "1"
"", "", "", "", "nb", "1"
"", "", "", "", "nh", "1"
"", "", "", "", "nl", "1"
"", "", "", "", "nô", "1"
"", "", "", "", "nz", "1"
"", "", "", "", "ôm", "1"
"", "", "", "", "ôt", "1"
"", "", "", "", "ov", "1"
"", "", "", "", "râ", "1"
"", "", "", "", "rh", "1"
"", "", "", "", "rô", "1"
"", "", "", "", "sd", "1"
"", "", "", "", "sL", "1"
"", "", "", "", "sS", "1"
"", "", "", "", "tê", "1"
"", "", "", "", "uo", "1"
