"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"BUTL", "19", "Fran", "25", "pour", "59"
"PARI", "8", "Alle", "22", "plus", "50"
"VRAI", "8", "Prés", "22", "dans", "47"
"YORK", "7", "Mons", "17", "ment", "44"
"LETT", "6", "Murr", "16", "nous", "43"
"ALLE", "3", "Nich", "14", "tout", "40"
"ACTI", "2", "Butl", "11", "guer", "36"
"CONT", "2", "Mais", "11", "comm", "35"
"ETTR", "2", "Pari", "9", "vous", "33"
"FOER", "2", "Votr", "9", "notr", "32"
"GERL", "2", "Gouv", "8", "cont", "31"
"GIDE", "2", "Etat", "7", "leur", "29"
"LOND", "2", "Lang", "7", "avec", "27"
"MAGN", "2", "Cail", "6", "jour", "27"
"SENA", "2", "Juil", "6", "mais", "27"
"STER", "2", "Unis", "6", "sont", "27"
"TION", "2", "Vous", "6", "bien", "26"
"XXXX", "2", "Berl", "5", "tion", "26"
"ACQU", "1", "Clem", "5", "elle", "25"
"ADNO", "1", "Gerl", "5", "iden", "22"
"AFFA", "1", "Nous", "5", "paix", "22"
"ALIT", "1", "SÉNA", "5", "même", "21"
"BEAU", "1", "Conf", "4", "part", "21"
"CAIL", "1", "Déce", "4", "fait", "20"
"CAIS", "1", "Genè", "4", "mand", "19"
"CARN", "1", "Séna", "4", "tous", "19"
"CAVA", "1", "Angl", "3", "comp", "18"
"CIPA", "1", "Aprè", "3", "être", "18"
"CREA", "1", "Cava", "3", "parl", "18"
"CRIT", "1", "Cela", "3", "sans", "18"
"DEUI", "1", "Comb", "3", "autr", "17"
"DOTA", "1", "Comt", "3", "ieur", "17"
"EGIE", "1", "Droi", "3", "cons", "16"
"EMAN", "1", "Elle", "3", "ence", "16"
"ENGL", "1", "Févr", "3", "pays", "16"
"ERLE", "1", "Kess", "3", "atio", "15"
"ETRE", "1", "Loui", "3", "cher", "15"
"FRAN", "1", "Nati", "3", "écri", "15"
"IDEN", "1", "Paix", "3", "mort", "15"
"IEME", "1", "Pour", "3", "entr", "14"
"IMPO", "1", "Puis", "3", "olas", "14"
"INUE", "1", "Quan", "3", "çais", "13"
"IQUE", "1", "Sart", "3", "dévo", "13"
"LAIR", "1", "Soci", "3", "lett", "13"
"LAUX", "1", "Tout", "3", "ours", "13"
"LLIN", "1", "Voil", "3", "affe", "12"
"MAND", "1", "Wash", "3", "enco", "12"
"MBRE", "1", "Alor", "2", "fair", "12"
"MENT", "1", "Amér", "2", "moin", "12"
"MILI", "1", "Amir", "2", "rest", "12"
"MILL", "1", "Bast", "2", "atte", "11"
"MORA", "1", "Beau", "2", "avai", "11"
"NATI", "1", "Bien", "2", "cela", "11"
"NATU", "1", "Bria", "2", "emen", "11"
"NOTR", "1", "Cent", "2", "ique", "11"
"OCCU", "1", "Cert", "2", "magn", "11"
"PAIX", "1", "Conc", "2", "rend", "11"
"PARL", "1", "Cons", "2", "sera", "11"
"PATI", "1", "Euro", "2", "sous", "11"
"PLUS", "1", "Foer", "2", "alle", "10"
