"All Caps", "Occurrences", "Initials", "Occurrences", "Lowercases", "Occurrences"
"", "", "Loz", "1", "nat", "11"
"", "", "Mar", "1", "our", "11"
"", "", "Mat", "1", "rep", "11"
"", "", "May", "1", "seu", "11"
"", "", "Mêm", "1", "soi", "11"
"", "", "Mex", "1", "sui", "11"
"", "", "Min", "1", "ume", "11"
"", "", "Mor", "1", "ure", "11"
"", "", "Mus", "1", "abl", "10"
"", "", "Nip", "1", "act", "10"
"", "", "Nor", "1", "ans", "10"
"", "", "Nos", "1", "arm", "10"
"", "", "Not", "1", "cet", "10"
"", "", "Nov", "1", "cha", "10"
"", "", "Oct", "1", "ère", "10"
"", "", "Ora", "1", "ess", "10"
"", "", "Ote", "1", "été", "10"
"", "", "P.S", "1", "gne", "10"
"", "", "Pic", "1", "inc", "10"
"", "", "Plu", "1", "ite", "10"
"", "", "Poi", "1", "jeu", "10"
"", "", "Pos", "1", "jus", "10"
"", "", "Pre", "1", "mis", "10"
"", "", "PRÉ", "1", "non", "10"
"", "", "Pro", "1", "occ", "10"
"", "", "Pub", "1", "ore", "10"
"", "", "REÇ", "1", "ple", "10"
"", "", "RÉP", "1", "rec", "10"
"", "", "Rés", "1", "reu", "10"
"", "", "Rev", "1", "sav", "10"
"", "", "Rhé", "1", "ste", "10"
"", "", "Ruy", "1", "ueu", "10"
"", "", "Sen", "1", "vic", "10"
"", "", "Tan", "1", "air", "9"
"", "", "Tim", "1", "aur", "9"
"", "", "Tol", "1", "avo", "9"
"", "", "Tra", "1", "bon", "9"
"", "", "Tri", "1", "cer", "9"
"", "", "UTÉ", "1", "cor", "9"
"", "", "Ver", "1", "dou", "9"
"", "", "Vic", "1", "dro", "9"
"", "", "Viv", "1", "ées", "9"
"", "", "Vos", "1", "env", "9"
"", "", "", "", "exe", "9"
"", "", "", "", "fau", "9"
"", "", "", "", "foi", "9"
"", "", "", "", "ina", "9"
"", "", "", "", "ine", "9"
"", "", "", "", "iqu", "9"
"", "", "", "", "ive", "9"
"", "", "", "", "lem", "9"
"", "", "", "", "mie", "9"
"", "", "", "", "nan", "9"
"", "", "", "", "ndr", "9"
"", "", "", "", "nds", "9"
"", "", "", "", "nem", "9"
"", "", "", "", "oué", "9"
"", "", "", "", "rai", "9"
"", "", "", "", "rép", "9"
"", "", "", "", "sta", "9"
"", "", "", "", "tai", "9"
"", "", "", "", "tem", "9"
"", "", "", "", "vra", "9"
"", "", "", "", "ann", "8"
"", "", "", "", "apr", "8"
"", "", "", "", "aus", "8"
"", "", "", "", "bre", "8"
"", "", "", "", "déf", "8"
"", "", "", "", "err", "8"
"", "", "", "", "exp", "8"
"", "", "", "", "fra", "8"
"", "", "", "", "ign", "8"
"", "", "", "", "ins", "8"
"", "", "", "", "ist", "8"
"", "", "", "", "jam", "8"
"", "", "", "", "len", "8"
"", "", "", "", "lin", "8"
"", "", "", "", "lla", "8"
"", "", "", "", "mar", "8"
"", "", "", "", "mun", "8"
"", "", "", "", "nde", "8"
"", "", "", "", "nts", "8"
"", "", "", "", "org", "8"
"", "", "", "", "pop", "8"
"", "", "", "", "quo", "8"
"", "", "", "", "rem", "8"
"", "", "", "", "som", "8"
"", "", "", "", "tin", "8"
"", "", "", "", "viv", "8"
"", "", "", "", "acc", "7"
"", "", "", "", "age", "7"
"", "", "", "", "ale", "7"
"", "", "", "", "ani", "7"
"", "", "", "", "art", "7"
"", "", "", "", "dem", "7"
"", "", "", "", "dit", "7"
"", "", "", "", "emb", "7"
"", "", "", "", "ept", "7"
"", "", "", "", "ers", "7"
"", "", "", "", "ève", "7"
"", "", "", "", "exc", "7"
"", "", "", "", "exi", "7"
"", "", "", "", "fér", "7"
"", "", "", "", "fin", "7"
"", "", "", "", "fon", "7"
"", "", "", "", "gar", "7"
"", "", "", "", "heu", "7"
"", "", "", "", "hom", "7"
"", "", "", "", "ife", "7"
"", "", "", "", "mpl", "7"
"", "", "", "", "nai", "7"
"", "", "", "", "nom", "7"
"", "", "", "", "ond", "7"
"", "", "", "", "ora", "7"
"", "", "", "", "ort", "7"
"", "", "", "", "oub", "7"
"", "", "", "", "pla", "7"
"", "", "", "", "poi", "7"
"", "", "", "", "pte", "7"
"", "", "", "", "pui", "7"
"", "", "", "", "réc", "7"
"", "", "", "", "ric", "7"
"", "", "", "", "rie", "7"
"", "", "", "", "rna", "7"
"", "", "", "", "rui", "7"
"", "", "", "", "sat", "7"
"", "", "", "", "sup", "7"
"", "", "", "", "ula", "7"
