"", "Model War", "Model Other", "Model War Retrained"
"Levensthein Distance (Char.)", "21", "40", "6"
"Levensthein Distance (Words)", "20", "32", "7"
"Word Error Rate (WER in %)", "6.734", "10.774", "2.356"
"Char. Error Rate (CER in %)", "1.213", "2.312", "0.346"
"Word Accuracy (Wacc in %)", "93.265", "89.225", "97.643"
"Hits", "1709", "1700", "1724"
"Substitutions", "17", "25", "4"
"Deletions", "4", "5", "2"
"Insertions", "0", "10", "0"
"Total char. in reference", "1730", "1730", "1730"
"Total char. in prediction", "1726", "1735", "1728"
