"", "Model War", "Model Other", "Model War Retrained"
"Levensthein Distance (Char.)", "27", "59", "9"
"Levensthein Distance (Words)", "20", "35", "8"
"Word Error Rate (WER in %)", "10.928", "19.125", "4.371"
"Char. Error Rate (CER in %)", "2.423", "5.296", "0.807"
"Word Accuracy (Wacc in %)", "89.071", "80.874", "95.628"
"Hits", "1089", "1059", "1105"
"Substitutions", "16", "45", "7"
"Deletions", "9", "10", "2"
"Insertions", "2", "4", "0"
"Total char. in reference", "1114", "1114", "1114"
"Total char. in prediction", "1107", "1108", "1112"
