"tokens","occurrences"
"jsme","135"
"kter","129"
"tábo","110"
"spor","105"
"tran","101"
"bylo","73"
"byly","65"
"byli","62"
"Tere","62"
"byla","60"
"jedn","54"
"jsem","54"
"Rako","51"
"prac","51"
"přij","50"
"před","46"
"sděl","44"
"zprá","41"
"poli","41"
"hran","41"
"osob","39"
"neby","39"
"posl","39"
"kteř","39"
"prác","39"
"stra","38"
"ješt","38"
"vojs","36"
"jako","36"
"Vídn","35"
"něme","35"
"úřad","35"
"rako","34"
"všec","34"
"plyn","34"
"prov","33"
"ředi","31"
"jsou","31"
"nebo","31"
"krem","31"
"ator","31"
"cejn","30"
"tels","30"
"přiš","29"
"ovní","29"
"ženy","29"
"zína","29"
"děti","29"
"také","28"
"stát","28"
"pros","28"
"prot","27"
"konc","27"
"ledn","25"
"břez","25"
"nemo","25"
"Edel","25"
"stei","25"
"hodi","24"
"dost","24"
"star","24"
"ynov","24"
"muse","23"
"sele","23"
"usku","22"
"zvlá","22"
"četn","22"
"hlás","21"
"mini","21"
"noci","21"
"přes","21"
"něko","21"
"žido","21"
"zíně","21"
"ghet","21"
"rozh","20"
"žádn","20"
"post","20"
"míst","20"
"oval","20"
"Osvě","20"
"když","20"
"živo","20"
"zapl","20"
"uské","19"
"vlád","19"
"přís","19"
"stan","19"
"možn","19"
"rozk","19"
"ován","19"
"prav","19"
"mezi","19"
"měli","19"
"velk","19"
"Schu","18"
"stav","18"
"vých","18"
"mohl","18"
"naše","18"
"okol","18"
"vnit","17"
"Něme","17"
"ovat","17"
"cest","17"
"nost","17"
"Prot","17"
"nové","17"
"vlas","17"
"léka","17"
"vede","17"
"schn","16"
"veli","16"
"spol","16"
"celé","16"
"zůst","16"
"kých","16"
"nich","16"
"prvn","16"
"mužů","16"
"Židů","16"
"bará","16"
"vské","16"
"každ","16"
"entr","16"
"rodi","16"
"těch","16"
"dále","15"
"býti","15"
"bude","15"
"odpo","15"
"náro","15"
"opat","15"
"uska","15"
"není","15"
"kona","15"
"štní","15"
"uský","15"
"ední","15"
"obsa","15"
"této","15"
"proh","15"
"ační","15"
"bunk","15"
"odje","15"
"domo","15"
"dětí","15"
"oper","15"
"tele","14"
"česk","14"
"část","14"
"příl","14"
"Němc","14"
"dalš","14"
"nast","14"
"pově","14"
"jeho","14"
"zast","14"
"víde","14"
"však","14"
"veče","14"
"Birk","14"
"zača","14"
"denn","14"
"naši","14"
"enau","14"
"osti","13"
"ster","13"
"pres","13"
"říšs","13"
"budo","13"
"naci","13"
"služ","13"
"jede","13"
"xxxx","13"
"icíc","13"
"toho","13"
"tisí","13"
"cích","13"
"kasá","13"
"kého","13"
"koně","13"
"lidí","13"
"pozd","13"
"muži","13"
"Když","13"
"tehd","13"
"stva","12"
"podl","12"
"jící","12"
"nepř","12"
"voje","12"
"stře","12"
"meck","12"
"radi","12"
"osta","12"
"přev","12"
"Prah","12"
"židů","12"
"větš","12"
"koma","12"
"lágr","12"
"někd","12"
"blok","12"
"taky","12"
"jeji","12"
"více","12"
"pomo","12"
"rada","11"
"věze","11"
"aven","11"
"stro","11"
"Břec","11"
"Miku","11"
"íždě","11"
"nejv","11"
"zabr","11"
"Praz","11"
"příp","11"
"rovn","11"
"zase","11"
"vidě","11"
"mrtv","11"
"říjn","11"
"mnoh","11"
"stál","11"
"měsí","11"
"něja","11"
"nevě","11"
"květ","11"
"zpěv","11"
"dřev","11"
"pols","11"
"saun","11"
"ensk","11"
"kanc","10"
"přek","10"
"ření","10"
"klid","10"
"toto","10"
"poku","10"
"nské","10"
"atel","10"
"sest","10"
"lušn","10"
"nech","10"
"znám","10"
"nebe","10"
"otli","10"
"lení","10"
"mlád","10"
"vrát","10"
"dobr","10"
"celý","10"
"býva","10"
"hroz","10"
"kama","10"
"dlou","10"
"těžk","10"
"vězn","10"
"něco","10"
"Meng","10"
"skut","10"
"Lage","10"
"Pols","10"
"ával","10"
"usko","9"
"idiu","9"
"Hitl","9"
"měst","9"
"spoj","9"
"ních","9"
"přin","9"
"Znoj","9"
"lavi","9"
"lově","9"
"práv","9"
"mluv","9"
"armá","9"
"povo","9"
"poda","9"
"zems","9"
"ický","9"
"tuto","9"
"Zprá","9"
"upce","9"
"vadž","9"
"pořá","9"
"nikd","9"
"eden","9"
"mimo","9"
"mají","9"
"slyš","9"
"skup","9"
"stal","9"
"zach","9"
"tomu","9"
"tová","9"
"Bylo","9"
"začá","9"
"hlav","9"
"čísl","9"
"dobř","9"
"matk","9"
"chtě","9"
"zpív","9"
"diva","9"
"malý","9"
